Layer,Name,GEOID,Longitude,Latitude,TRF_2023
,,,,,"Traffic intensity (distance-weighted vehicles), 2023"
Census tract,Tract 2515,17031251500,-87.76035380,41.89110350,116.90121124169968
Census tract,Tract 2516,17031251600,-87.75180370,41.89140650,107.87785975946052
Census tract,Tract 2517,17031251700,-87.74447930,41.89138440,414.0325089
Census tract,Tract 2518,17031251800,-87.74788850,41.88414360,253.39376395152908
Census tract,Tract 2519,17031251900,-87.76009450,41.88381160,189.2193708667997
Census tract,Tract 2520,17031252000,-87.76987980,41.88367590,224.01822511191995
Census tract,Tract 2521.01,17031252101,-87.76985520,41.87388120,335.3700296
Census tract,Tract 2521.02,17031252102,-87.75982760,41.87659900,353.7092131853402
Census tract,Tract 2522.01,17031252201,-87.75210510,41.87669580,213.29967003980272
Census tract,Tract 2522.02,17031252202,-87.74458320,41.87675840,575.881069499979
Census tract,Tract 2601,17031260100,-87.72333020,41.88437070,231.8591448
Census tract,Tract 2602,17031260200,-87.72823020,41.88432430,224.2448953
Census tract,Tract 2603,17031260300,-87.73313620,41.88427660,54.22809256
Census tract,Tract 2604,17031260400,-87.73804110,41.88421450,53.59475874
Census tract,Tract 2605,17031260500,-87.73772820,41.87666390,511.9663984
Census tract,Tract 2606,17031260600,-87.73286700,41.87710760,1063.0684315610215
Census tract,Tract 2607,17031260700,-87.72799620,41.87705650,2113.645383313424
Census tract,Tract 2608,17031260800,-87.72309640,41.87708480,1675.3504561721268
Census tract,Tract 2609,17031260900,-87.72281410,41.87102970,1904.538574149044
Census tract,Tract 2610,17031261000,-87.73200940,41.87133790,2682.4471645102667
Census tract,Tract 2705,17031270500,-87.71779320,41.87624020,2228.340927
Census tract,Tract 2712,17031271200,-87.70356210,41.87735970,1533.792034
Census tract,Tract 2713,17031271300,-87.70845280,41.87730400,1678.879723
Census tract,Tract 2714,17031271400,-87.71333140,41.87724290,1261.942591
Census tract,Tract 2715,17031271500,-87.71315590,41.87178610,2025.989083
Census tract,Tract 2718,17031271800,-87.69848970,41.87149640,1031.967571
Census tract,Tract 2801,17031280100,-87.64349770,41.88545200,6408.671116447648
Census tract,Tract 2804,17031280400,-87.67188460,41.88600940,124.7937693
Census tract,Tract 2808,17031280800,-87.68890090,41.87859670,2832.324909
Census tract,Tract 2809,17031280900,-87.68513240,41.87862610,2640.271036
Census tract,Tract 2819,17031281900,-87.64292360,41.87863460,10530.735769362253
Census tract,Tract 2827,17031282700,-87.68868120,41.87136680,2202.523877117592
Census tract,Tract 2828,17031282800,-87.68491360,41.87026830,1113.393719
Census tract,Tract 2831,17031283100,-87.66409200,41.86927410,192.8533631249172
Census tract,Tract 2832,17031283200,-87.65920230,41.86957900,257.8471226
Census tract,Tract 2838,17031283800,-87.65375470,41.86341680,148.29650857969187
Census tract,Tract 2909,17031290900,-87.73245670,41.86241030,139.32960639181383
Census tract,Tract 2912,17031291200,-87.71287460,41.86266110,53.322891866456686
Census tract,Tract 2916,17031291600,-87.69221590,41.85764150,25.54630772
Census tract,Tract 2922,17031292200,-87.71573060,41.85666650,34.29009210727396
